,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,In_nascent_v0,keyword,IsGRO-seq (TRUE or FALSE),keyword
ERR1830513,2/21/17 15:18,2/23/17 4:38,43851351,2192567550,0,50,1495,,https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR1830/ERR1830513,ERX1892488,Sequential_IP_Rpb2-HA_Rpb3-FLAG-tag_glu_repeat1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP014630,PRJEB13094,,352174,ERS1555998,SAMEA88412668,simple,4932,Saccharomyces cerevisiae,E-MTAB-45681487005959:Sequential_IP_Rpb2-HA_Rpb3-FLAG-tag_glu_repeat1,,,,,,,no,,,,,H. Fischl,ERA812844,,public,6C1EA0B06BE60A39ADF01AEFB3F7A4AD,04F98794715AB0C00A0D15BA2B50DABC,FALSE,,,
ERR769522,2/27/15 4:03,2/27/15 4:09,30443123,3105198546,30443123,102,1881,,https://sra-download.ncbi.nlm.nih.gov/traces/era10/ERR/ERR769/ERR769522,ERX712806,Sample 4,OTHER,other,TRANSCRIPTOMIC,PAIRED,51,1,ILLUMINA,Illumina HiSeq 2000,ERP009673,PRJEB8651,,276656,ERS665820,SAMEA3269888,simple,9606,Homo sapiens,E-MTAB-3360:Sample 4,,,,,,,no,,,,,"High-Throughput Genomics Group at The Wellcome Trust Centre for Human Genetics, Oxford, UK",ERA412624,,public,FD8236B7031035F2801553CCB427610B,F5988EBF9672A1BE209C5F607C7A90DF,FALSE,Laitem2015,,
ERR769523,2/27/15 4:03,2/27/15 4:06,32774446,3342993492,32774446,102,2017,,https://sra-download.ncbi.nlm.nih.gov/traces/era10/ERR/ERR769/ERR769523,ERX712808,Sample 3,OTHER,other,TRANSCRIPTOMIC,PAIRED,51,1,ILLUMINA,Illumina HiSeq 2000,ERP009673,PRJEB8651,,276656,ERS665822,SAMEA3269890,simple,9606,Homo sapiens,E-MTAB-3360:Sample 3,,,,,,,no,,,,,"High-Throughput Genomics Group at The Wellcome Trust Centre for Human Genetics, Oxford, UK",ERA412624,,public,C1F902B5E23DA7B69289F3F17B75CB13,A3BC399B236A1F01E4E9CCB61D67F9E9,FALSE,Laitem2015,,
ERR769524,2/27/15 4:03,2/27/15 4:08,46714447,4764873594,46714447,102,2890,,https://sra-download.ncbi.nlm.nih.gov/traces/era10/ERR/ERR769/ERR769524,ERX712805,Sample 2,OTHER,other,TRANSCRIPTOMIC,PAIRED,51,1,ILLUMINA,Illumina HiSeq 2000,ERP009673,PRJEB8651,,276656,ERS665819,SAMEA3269887,simple,9606,Homo sapiens,E-MTAB-3360:Sample 2,,,,,,,no,,,,,"High-Throughput Genomics Group at The Wellcome Trust Centre for Human Genetics, Oxford, UK",ERA412624,,public,11EF61F64A59144E0F934CB9D4251B48,28A3EDCE4464CBE762B0F25A2825849D,FALSE,Laitem2015,,
ERR769525,2/27/15 4:03,2/27/15 4:25,50632288,5164493376,50632288,102,3142,,https://sra-download.ncbi.nlm.nih.gov/traces/era10/ERR/ERR769/ERR769525,ERX712807,Sample 1,OTHER,other,TRANSCRIPTOMIC,PAIRED,51,1,ILLUMINA,Illumina HiSeq 2000,ERP009673,PRJEB8651,,276656,ERS665821,SAMEA3269889,simple,9606,Homo sapiens,E-MTAB-3360:Sample 1,,,,,,,no,,,,,"High-Throughput Genomics Group at The Wellcome Trust Centre for Human Genetics, Oxford, UK",ERA412624,,public,D364F262D7BB2BB6B33CD91DCC592EC2,FA380EAD1B880E2605D6BF814F12EB12,FALSE,Laitem2015,,
ERR908232,10/21/15 5:36,10/21/15 5:53,27615929,1380796450,0,50,825,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908232,ERX987497,BT474_GEL+JQ1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743788,SAMEA3445316,simple,9606,Homo sapiens,E-MTAB-3626:BT474_GEL+JQ1,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,36CB458AABD66B12739E56A06358A2C4,DC0077095B83B76B71FDFFE7387DC03F,FALSE,,,
ERR908233,10/21/15 5:36,10/21/15 5:36,16981741,849087050,0,50,499,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908233,ERX987510,BT474_DMSO,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743801,SAMEA3445329,simple,9606,Homo sapiens,E-MTAB-3626:BT474_DMSO,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,56EA83BED609B70D15B4B5DB5E42A931,86242EB72D769E5B3E77EAF09017C222,FALSE,,,
ERR908234,10/21/15 5:36,10/21/15 5:37,22534459,1126722950,0,50,736,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908234,ERX987506,BT474_30minSAHA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743797,SAMEA3445325,simple,9606,Homo sapiens,E-MTAB-3626:BT474_30minSAHA,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,6885F4820CE04F9B98436DD6C2B3C34D,9FC3F33AC7A6EA50A39DBEB930251575,FALSE,,,
ERR908235,10/21/15 5:36,10/21/15 5:37,26096194,1304809700,0,50,787,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908235,ERX987504,BT474_GEL+TSA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743795,SAMEA3445323,simple,9606,Homo sapiens,E-MTAB-3626:BT474_GEL+TSA,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,C5AA77647777C9D8660F950A6055DD4F,EF804C8DB4E0F8F738B55DAD27B1F360,FALSE,,,
ERR908236,10/21/15 5:36,10/21/15 5:52,45815944,2290797200,0,50,1450,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908236,ERX987490,MCF10A_GEL+SAHA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743781,SAMEA3445309,simple,9606,Homo sapiens,E-MTAB-3626:MCF10A_GEL+SAHA,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,7E416210C5BAEE7E75FBCA52BE7FC899,2751F2F67A1B97F91B806F01BE24F01D,FALSE,,,
ERR908237,10/21/15 5:36,10/21/15 6:06,29893256,1494662800,0,50,952,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908237,ERX987509,MCF10A_GEL+TSA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743800,SAMEA3445328,simple,9606,Homo sapiens,E-MTAB-3626:MCF10A_GEL+TSA,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,486029C9FF477A2017B7FF295C0EEEB2,B421786EF52F5FA17E832E315A7C6AA5,FALSE,,,
ERR908238,10/21/15 5:36,10/21/15 5:51,26245482,1312274100,0,50,772,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908238,ERX987503,BT474_TSA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743794,SAMEA3445322,simple,9606,Homo sapiens,E-MTAB-3626:BT474_TSA,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,18E2141B923E92366B12BBC4AC313B60,A6123AB1AC83088A42F71BC473EF69B9,FALSE,,,
ERR908239,10/21/15 5:36,10/21/15 5:51,22794957,1139747850,0,50,749,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908239,ERX987501,SK-N-SH_SAHA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743792,SAMEA3445320,simple,9606,Homo sapiens,E-MTAB-3626:SK-N-SH_SAHA,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,F37116C42FFE7472766E3807D5BE860B,2349ED4814EE70FF80289143E51DEA69,FALSE,,,
ERR908240,10/21/15 5:36,10/21/15 5:52,26723422,1336171100,0,50,857,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908240,ERX987498,MCF10A_DMSO,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743789,SAMEA3445317,simple,9606,Homo sapiens,E-MTAB-3626:MCF10A_DMSO,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,29FEB8209477AECA4F2E8DE7A305CDB0,2C5D60BCD0A2363A806A6A244CABE6AB,FALSE,,,
ERR908241,10/21/15 5:36,10/21/15 5:53,52561929,2628096450,0,50,1656,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908241,ERX987494,MCF10A_SAHA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743785,SAMEA3445313,simple,9606,Homo sapiens,E-MTAB-3626:MCF10A_SAHA,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,0A9642D62255B6D1EE6BC96109F4FE80,E5221BAA0FDCCE414FDA90562D253760,FALSE,,,
ERR908242,10/21/15 5:36,10/21/15 5:51,48138630,2406931500,0,50,1452,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908242,ERX987491,BT474_GEL+SAHA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743782,SAMEA3445310,simple,9606,Homo sapiens,E-MTAB-3626:BT474_GEL+SAHA,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,71243762474332A6515F683A2CE24721,89241748CBCBFAC13ADC261A2AA47370,FALSE,,,
ERR908243,10/21/15 5:36,10/21/15 5:51,30115754,1505787700,0,50,974,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908243,ERX987507,MCF10A_FLAVO,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743798,SAMEA3445326,simple,9606,Homo sapiens,E-MTAB-3626:MCF10A_FLAVO,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,7998FA803F0D090A76C4EB5F81E4B3B0,C5EE575BCF42CB589002303B56FE85E5,FALSE,,,
ERR908244,10/21/15 5:36,10/21/15 5:50,22504811,1125240550,0,50,690,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908244,ERX987495,BT474_GEL+FLAVO,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743786,SAMEA3445314,simple,9606,Homo sapiens,E-MTAB-3626:BT474_GEL+FLAVO,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,B05DE7B2B7FFA504BDE22DD721C8D6B6,807C785020DA78BC4A0EDA6AA890E89F,FALSE,,,
ERR908245,10/21/15 5:36,10/21/15 5:50,32437045,1621852250,0,50,976,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908245,ERX987502,BT474_GEL,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743793,SAMEA3445321,simple,9606,Homo sapiens,E-MTAB-3626:BT474_GEL,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,1D25F286810344AF8379B849080183A6,6B4C22EEB849EE9A72A0027A6F134F21,FALSE,,,
ERR908246,10/21/15 5:36,10/21/15 5:51,29968752,1498437600,0,50,974,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908246,ERX987508,MCF10A_GEL+FLAVO,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743799,SAMEA3445327,simple,9606,Homo sapiens,E-MTAB-3626:MCF10A_GEL+FLAVO,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,D5BA4B0AFE223842A18CADF392E4FA1F,42AB33FC9B438DDAE9546F88E4E66593,FALSE,,,
ERR908247,10/21/15 5:36,10/21/15 5:50,26119631,1305981550,0,50,835,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908247,ERX987493,MCF10A_GEL,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743784,SAMEA3445312,simple,9606,Homo sapiens,E-MTAB-3626:MCF10A_GEL,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,130D20BF70CCE189731E07096B8ACCAB,B32086F5493216180C991BBB81805F84,FALSE,,,
ERR908248,10/21/15 5:36,10/21/15 5:50,16251123,812556150,0,50,532,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908248,ERX987496,BT474_DMSO_2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743787,SAMEA3445315,simple,9606,Homo sapiens,E-MTAB-3626:BT474_DMSO_2,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,2FC44398918843EF10EC30DBE9F6BBBC,E0A45B1EF29FAF55C8100EE438D04D23,FALSE,,,
ERR908249,10/21/15 5:36,10/21/15 5:50,25215641,1260782050,0,50,739,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908249,ERX987489,BT474_JQ1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743780,SAMEA3445308,simple,9606,Homo sapiens,E-MTAB-3626:BT474_JQ1,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,6308F09517D83EB0D5D39C74D4B40765,42E316B11ED85248CCAB6D09BFA61C2E,FALSE,,,
ERR908250,10/21/15 5:36,10/21/15 5:49,23169100,1158455000,0,50,692,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908250,ERX987499,BT474_FLAVO,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743790,SAMEA3445318,simple,9606,Homo sapiens,E-MTAB-3626:BT474_FLAVO,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,1B5066E7C474C428F0A2D3654D3FC1D3,5D71332C7701CCB7DE0EDFB5D65E5070,FALSE,,,
ERR908251,10/21/15 5:36,10/21/15 5:50,45333956,2266697800,0,50,1305,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908251,ERX987492,BT474_SAHA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743783,SAMEA3445311,simple,9606,Homo sapiens,E-MTAB-3626:BT474_SAHA,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,ABA8ADBD75BE0572AAC1C89EF703B2A2,9778C2457699CC1AE412B65AE2DE09C7,FALSE,,,
ERR908252,10/21/15 5:36,10/21/15 5:49,23444619,1172230950,0,50,748,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908252,ERX987500,MCF10A_JQ1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743791,SAMEA3445319,simple,9606,Homo sapiens,E-MTAB-3626:MCF10A_JQ1,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,DD410AF52DE7062E89DD01ACC077A79C,39269555B6B356ABE280390EB8D4CBFB,FALSE,,,
ERR908253,10/21/15 5:36,10/21/15 5:38,22153550,1107677500,0,50,704,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908253,ERX987505,MCF10A_GEL+JQ1,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743796,SAMEA3445324,simple,9606,Homo sapiens,E-MTAB-3626:MCF10A_GEL+JQ1,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,E567E3EFE5238311CF62A746E1F2433D,65E40EFAB94F7FF9618D83E82FDD33FD,FALSE,,,
ERR908254,10/21/15 5:36,10/21/15 5:37,16138335,806916750,0,50,532,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908254,ERX987488,SK-N-SH_UNTREATED,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743779,SAMEA3445307,simple,9606,Homo sapiens,E-MTAB-3626:SK-N-SH_UNTREATED,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,6BA6F71B92A5F6FD10B9C776F4663882,9568BDCADAF1271CBCFF68570C5F4F4B,FALSE,,,
ERR908255,10/21/15 5:36,10/21/15 5:37,28381985,1419099250,0,50,903,,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR908/ERR908255,ERX987487,MCF10A_TSA,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP010661,PRJEB9544,,299378,ERS743778,SAMEA3445306,simple,9606,Homo sapiens,E-MTAB-3626:MCF10A_TSA,,,,,,,no,,,,,YALE STEM CELL CENTER,ERA443646,,public,35514F8D617EBCE5E62DCFDF150274CC,1FC9EDA00F6C06CF09268197CD2187F1,FALSE,,,
SRR014283,9/21/09 12:06,5/26/14 4:09,4555156,150320148,0,33,104,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/000013/SRR014283,SRX003135,GRO-seq rep 1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000629,PRJNA110127,1,110127,SRS002272,SAMN00002090,simple,9606,Homo sapiens,GSM340901,,,,,,,no,,,,,GEO,SRA008244,,public,C8277E03E078F4DDED3CD3C7679FA4FE,8B38EDA5BDF6DA82D03949105240F3FB,TRUE,Core2008,,
SRR014284,9/21/09 12:06,5/26/14 4:09,4631165,152828445,0,33,108,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/000013/SRR014284,SRX003135,GRO-seq rep 1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer,SRP000629,PRJNA110127,1,110127,SRS002272,SAMN00002090,simple,9606,Homo sapiens,GSM340901,,,,,,,no,,,,,GEO,SRA008244,,public,92ADD9288377A3C252939C6E06124543,CAAC926D4F21DB5B280CEB7B690A72B9,TRUE,Core2008,,
